Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
12/18/2021 17:03:41	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.1.0	12/18/2021 17:03:40	12/18/2021 23:03:40	6144
12/18/2021 19:21:58	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Release\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.2.0	12/18/2021 19:21:58	12/19/2021 01:21:58	6144
12/19/2021 00:28:16	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.3.0	12/19/2021 00:28:16	12/19/2021 06:28:16	6144
12/19/2021 02:35:08	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.4.0	12/19/2021 02:35:08	12/19/2021 08:35:08	6144
12/19/2021 13:59:31	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.5.0	12/19/2021 13:59:31	12/19/2021 19:59:31	6144
12/19/2021 14:11:58	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Release\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.6.0	12/19/2021 14:11:58	12/19/2021 20:11:58	6144
12/19/2021 14:36:10	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Release\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.7.0	12/19/2021 14:36:10	12/19/2021 20:36:10	6144
12/19/2021 17:42:31	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Release\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.8.0	12/19/2021 17:42:30	12/19/2021 23:42:30	6144
03/27/2022 19:19:40	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Release\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.9.0	03/27/2022 19:19:40	03/28/2022 00:19:40	6656
03/27/2022 19:28:19	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.10.0	03/27/2022 19:28:19	03/28/2022 00:28:19	6656
03/28/2022 00:06:20	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.11.0	03/28/2022 00:06:19	03/28/2022 05:06:19	6656
03/28/2022 00:23:10	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.12.0	03/28/2022 00:23:09	03/28/2022 05:23:09	6656
03/28/2022 00:49:44	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.13.0	03/28/2022 00:49:44	03/28/2022 05:49:44	7168
04/02/2022 00:21:42	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.14.0	04/02/2022 00:21:41	04/02/2022 05:21:41	7168
04/02/2022 00:41:52	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.15.0	04/02/2022 00:41:52	04/02/2022 05:41:52	7680
04/02/2022 16:02:39	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.17.0	04/02/2022 16:02:39	04/02/2022 21:02:39	8192
04/03/2022 00:47:13	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.18.0	04/03/2022 00:47:13	04/03/2022 05:47:13	8192
04/03/2022 00:48:01	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.19.0	04/03/2022 00:48:01	04/03/2022 05:48:01	8192
04/03/2022 01:17:53	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.20.0	04/03/2022 01:17:53	04/03/2022 06:17:53	8192
04/03/2022 02:22:12	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.21.0	04/03/2022 02:22:11	04/03/2022 07:22:11	9216
04/03/2022 11:48:38	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.22.0	04/03/2022 11:48:38	04/03/2022 16:48:38	9216
04/03/2022 12:02:09	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.23.0	04/03/2022 12:02:09	04/03/2022 17:02:09	9216
04/03/2022 14:19:41	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.24.0	04/03/2022 14:19:40	04/03/2022 19:19:40	12800
04/03/2022 16:12:27	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.25.0	04/03/2022 16:12:27	04/03/2022 21:12:27	12800
04/03/2022 16:46:25	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.26.0	04/03/2022 16:46:25	04/03/2022 21:46:25	13824
04/03/2022 17:16:10	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.27.0	04/03/2022 17:16:09	04/03/2022 22:16:09	13824
04/03/2022 18:51:17	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Debug\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.28.0	04/03/2022 18:51:17	04/03/2022 23:51:17	13824
04/04/2022 00:52:15	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\WizardWrx_Libs\WebApplicationAids\WebApplicationAids\bin\Release\WizardWrx.WebApplicationAids.dll	WebApplicationAids	WizardWrx.WebApplicationAids	1.0.29.0	04/04/2022 00:52:15	04/04/2022 05:52:15	13312
